,Threshold,Homogenity,Completeness,vScore,Shilloutte,Mutual info score,Adjusted mutual info score
0,0.1,0.5875012051010419,0.4091038106947924,0.48233548494172385,0.2029262988739393,0.5471786527953022,0.4065953650860353
1,0.30000000000000004,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
2,0.5000000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
3,0.7000000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
4,0.9000000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
5,1.1000000000000003,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
6,1.3000000000000003,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
7,1.5000000000000004,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
8,1.7000000000000004,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
9,1.9000000000000004,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
10,2.1000000000000005,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
11,2.3000000000000007,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
12,2.5000000000000004,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
13,2.7000000000000006,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
14,2.900000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
15,3.1000000000000005,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
16,3.3000000000000007,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
17,3.500000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
18,3.7000000000000006,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
19,3.900000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
20,4.1000000000000005,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
21,4.300000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
22,4.500000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
23,4.7,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
24,4.9,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
25,5.1000000000000005,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
26,5.300000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
27,5.500000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
28,5.700000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
29,5.9,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
30,6.1000000000000005,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
31,6.300000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
32,6.500000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
33,6.700000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
34,6.900000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
35,7.100000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
36,7.300000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
37,7.500000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
38,7.700000000000001,-8.009000621684024e-17,1.0,-1.601800124336805e-16,0.2029262988739393,-7.45931094670027e-17,8.296728625405451e-16
